protein_accession	db_source	name	stringid	sym	geneid	fam
P00568	SWISS-PROT	Adenylate kinase 1	ENSP00000362249	AK1	203	Kinase
P00734	SWISS-PROT	Thrombin	ENSP00000308541	F2	2147	Enzyme
P00736	SWISS-PROT	Complement C1r	ENSP00000290575	C1R	715	None
P00740	SWISS-PROT	Coagulation factor IX	ENSP00000218099	F9	2158	Enzyme
P00742	SWISS-PROT	Coagulation factor X	ENSP00000364709	F10	2159	Enzyme
P00747	SWISS-PROT	Plasminogen	ENSP00000308938	PLG	5340	Enzyme
P00748	SWISS-PROT	Coagulation factor XII	ENSP00000253496	F12	2161	Enzyme
P00749	SWISS-PROT	Urokinase-type plasminogen activator	ENSP00000361850	PLAU	5328	Enzyme
P00750	SWISS-PROT	Tissue-type plasminogen activator	ENSP00000220809	PLAT	5327	Enzyme
P00751	SWISS-PROT	Complement factor B	ENSP00000416561	CFB	629	None
P00790	SWISS-PROT	Pepsin A	NA	NA	NA	NA
P00797	SWISS-PROT	Renin	ENSP00000272190	REN	5972	Enzyme
P00813	SWISS-PROT	Adenosine deaminase	ENSP00000361965	ADA	100	Enzyme
P00915	SWISS-PROT	Carbonic anhydrase I	ENSP00000256119	CA1	759	Enzyme
P00918	SWISS-PROT	Carbonic anhydrase II	ENSP00000285379	CA2	760	Enzyme
P01008	SWISS-PROT	Antithrombin-III precursor	ENSP00000356671	SERPINC1	462	None
P01011	SWISS-PROT	Alpha-1-antichymotrypsin	ENSP00000376793	SERPINA3	12	None
P01024	SWISS-PROT	Complement C3	ENSP00000245907	C3	718	None
P01100	SWISS-PROT	Proto-oncogene protein c-fos	ENSP00000306245	FOS	2353	TF
P01112	SWISS-PROT	Transforming protein p21/H-Ras-1 	ENSP00000309845	HRAS	3265	Enzyme
P01130	SWISS-PROT	LDL receptor	ENSP00000454071	LDLR	3949	None
P01133	SWISS-PROT	Pro-epidermal growth factor	ENSP00000265171	EGF	1950	None
P01213	SWISS-PROT	Proenkephalin B	ENSP00000217305	PDYN	5173	None
P01275	SWISS-PROT	Glucagon	ENSP00000387662	GCG	2641	None
P01282	SWISS-PROT	VIP peptides	ENSP00000356213	VIP	7432	None
P01308	SWISS-PROT	Insulin	ENSP00000250971	INS	3630	None
P01374	SWISS-PROT	TNF-beta	ENSP00000403495	LTA	4049	None
P01375	SWISS-PROT	TNF-alpha	ENSP00000398698	TNF	7124	None
P01588	SWISS-PROT	Erythropoietin	ENSP00000252723	EPO	2056	None
P01589	SWISS-PROT	Interleukin-2 receptor alpha chain	ENSP00000369293	IL2RA	3559	None
P01730	SWISS-PROT	T-cell surface antigen CD4	ENSP00000011653	CD4	920	None
P01854	SWISS-PROT	Ig epsilon chain C region	None	IGHE	3497	None
P02452	SWISS-PROT	Collagen alpha 1 chain	ENSP00000225964	COL1A1	1277	None
P02647	SWISS-PROT	Apolipoprotein A-I	ENSP00000236850	APOA1	335	None
P02671	SWISS-PROT	Fibrinogen alpha/alpha-E chain	ENSP00000306361	FGA	2243	None
P02675	SWISS-PROT	Fibrinogen beta chain	ENSP00000306099	FGB	2244	None
P02679	SWISS-PROT	Fibrinogen gamma chain 	ENSP00000336829	FGG	2266	None
P02708	SWISS-PROT	Acetylcholine receptor protein alpha chain	ENSP00000261007	CHRNA1	1134	IC
P02724	SWISS-PROT	Glycophorin-A	ENSP00000354003	GYPA	2993	None
P02743	SWISS-PROT	Serum amyloid P-component	ENSP00000255040	APCS	325	None
P02749	SWISS-PROT	Apolipoprotein H	ENSP00000205948	APOH	350	None
P02751	SWISS-PROT	Fibronectin	ENSP00000346839	FN1	2335	None
P02753	SWISS-PROT	Plasma retinol-binding protein	ENSP00000360519	RBP4	5950	None
P02763	SWISS-PROT	Alpha-1-acid glycoprotein 1	ENSP00000259396	ORM1	5004	None
P02766	SWISS-PROT	Transthyretin	ENSP00000237014	TTR	7276	None
P02768	SWISS-PROT	Serum albumin	ENSP00000295897	ALB	213	None
P02774	SWISS-PROT	Vitamin D-binding protein	ENSP00000421725	GC	2638	None
P02787	SWISS-PROT	Serotransferrin	ENSP00000385834	TF	7018	None
P03372	SWISS-PROT	Estrogen receptor alpha	ENSP00000206249	ESR1	2099	NR
P03886	SWISS-PROT	NADH-ubiquinone oxidoreductase chain 1 	ENSP00000354687	MT-ND1	4535	Enzyme
P03891	SWISS-PROT	NADH-ubiquinone oxidoreductase chain 2 	ENSP00000355046	MT-ND2	4536	Enzyme
P03897	SWISS-PROT	NADH-ubiquinone oxidoreductase chain 3 	ENSP00000355206	MT-ND3	4537	Enzyme
P03901	SWISS-PROT	NADH-ubiquinone oxidoreductase chain 4L 	ENSP00000354728	MT-ND4L	4539	Enzyme
P03905	SWISS-PROT	NADH-ubiquinone oxidoreductase chain 4 	ENSP00000354961	MT-ND4	4538	Enzyme
P03915	SWISS-PROT	NADH-ubiquinone oxidoreductase chain 5 	ENSP00000354813	MT-ND5	4540	Enzyme
P03923	SWISS-PROT	NADH-ubiquinone oxidoreductase chain 6 	ENSP00000354665	MT-ND6	4541	Enzyme
P03950	SWISS-PROT	Angiogenin	ENSP00000336762	ANG	283	Enzyme
P03951	SWISS-PROT	Coagulation factor XI	ENSP00000384957	F11	2160	Enzyme
P03952	SWISS-PROT	Plasma kallikrein	ENSP00000264690	KLKB1	3818	Enzyme
P03956	SWISS-PROT	Matrix metalloproteinase-1	ENSP00000322788	MMP1	4312	Enzyme
P04004	SWISS-PROT	Vitronectin	ENSP00000226218	VTN	7448	TF
P04035	SWISS-PROT	HMG-CoA reductase	ENSP00000287936	HMGCR	3156	Enzyme
P04049	SWISS-PROT	Serine/threonine-protein kinase RAF	ENSP00000251849	RAF1	5894	Kinase
P04053	SWISS-PROT	Terminal deoxynucleotidyltransferase	ENSP00000360216	DNTT	1791	Enzyme
P04054	SWISS-PROT	Phospholipase A2 group 1B	ENSP00000312286	PLA2G1B	5319	Enzyme
P04062	SWISS-PROT	Beta-glucocerebrosidase	ENSP00000314508	GBA	2629	Enzyme
P04066	SWISS-PROT	Alpha-L-fucosidase I	ENSP00000363603	FUCA1	2517	Enzyme
P04070	SWISS-PROT	Vitamin K-dependent protein C	ENSP00000234071	PROC	5624	Enzyme
P04075	SWISS-PROT	Fructose-bisphosphate aldolase A	ENSP00000336927	ALDOA	226	Enzyme
P04114	SWISS-PROT	Apolipoprotein B-100 	ENSP00000233242	APOB	338	None
P04150	SWISS-PROT	Glucocorticoid receptor	ENSP00000231509	NR3C1	2908	NR
P04156	SWISS-PROT	Prion protein	ENSP00000368752	PRNP	5621	None
P04180	SWISS-PROT	Phosphatidylcholine-sterol acyltransferase	ENSP00000264005	LCAT	3931	Enzyme
P04181	SWISS-PROT	Ornithine aminotransferase, mitochondrial	ENSP00000357838	OAT	4942	Enzyme
P04183	SWISS-PROT	Thymidine kinase, cytosolic	ENSP00000301634	TK1	7083	Kinase
P04229	SWISS-PROT	HLA class II histocompatibility antigen DRB1-1	ENSP00000353099	HLA-DRB1	3123	None
P04233	SWISS-PROT	HLA-DR antigens-associated invariant chain	ENSP00000009530	CD74	972	None
P04271	SWISS-PROT	S-100 protein beta chain	ENSP00000291700	S100B	6285	None
P04278	SWISS-PROT	Testis-specific androgen-binding protein	ENSP00000369816	SHBG	6462	None
P04350	SWISS-PROT	Tubulin beta-4 chain	ENSP00000264071	TUBB4A	10382	None
P04406	SWISS-PROT	Glyceraldehyde-3-phosphate dehydrogenase liver	ENSP00000229239	GAPDH	2597	Enzyme
P04439	SWISS-PROT	HLA class I histocompatibility antigen A-3	ENSP00000366005	HLA-A	3105	None
P04626	SWISS-PROT	Receptor protein-tyrosine kinase erbB-2	ENSP00000269571	ERBB2	2064	Kinase
P04629	SWISS-PROT	Nerve growth factor receptor Trk-A	ENSP00000431418	NTRK1	4914	Kinase
P04632	SWISS-PROT	Calpain small subunit 1	ENSP00000246533	CAPNS1	826	None
P04637	SWISS-PROT	Cellular tumor antigen p53	ENSP00000269305	TP53	7157	TF
P04745	SWISS-PROT	Salivary alpha-amylase	ENSP00000359100	AMY1C	278	Enzyme
P04746	SWISS-PROT	Pancreatic alpha-amylase	ENSP00000397582	AMY2A	279	Enzyme
P04792	SWISS-PROT	Heat shock protein beta-1	ENSP00000248553	HSPB1	3315	None
P04798	SWISS-PROT	Cytochrome P450 1A1	ENSP00000369050	CYP1A1	1543	None
P04818	SWISS-PROT	Thymidylate synthase	ENSP00000315644	TYMS	7298	Enzyme
P05023	SWISS-PROT	Sodium/potassium-transporting ATPase alpha-1 chain	ENSP00000295598	ATP1A1	476	Transporter
P05026	SWISS-PROT	Sodium/potassium-transporting ATPase beta-1 chain	ENSP00000356789	ATP1B1	481	Transporter
P05067	SWISS-PROT	Beta amyloid A4 protein	ENSP00000284981	APP	351	None
P05089	SWISS-PROT	Arginase-1	ENSP00000357066	ARG1	383	Enzyme
P05091	SWISS-PROT	Aldehyde dehydrogenase	ENSP00000261733	ALDH2	217	Enzyme
P05093	SWISS-PROT	Cytochrome P450 17A1	ENSP00000358903	CYP17A1	1586	Enzyme
P05106	SWISS-PROT	Integrin beta-3	ENSP00000262017	ITGB3	3690	None
P05107	SWISS-PROT	Integrin beta-2	ENSP00000303242	ITGB2	3689	None
P05108	SWISS-PROT	Cytochrome P450 11A1	ENSP00000268053	CYP11A1	1583	Enzyme
P05113	SWISS-PROT	NA	ENSP00000231454	IL5	3567	None
P05121	SWISS-PROT	Plasminogen activator inhibitor-1	ENSP00000223095	SERPINE1	5054	None
P05129	SWISS-PROT	Protein kinase C gamma	ENSP00000263431	PRKCG	5582	Kinase
P05162	SWISS-PROT	Galectin-2	ENSP00000215886	LGALS2	3957	None
P05164	SWISS-PROT	Myeloperoxidase	ENSP00000225275	MPO	4353	Enzyme
P05177	SWISS-PROT	Cytochrome P450 1A2	ENSP00000342007	CYP1A2	1544	None
P05181	SWISS-PROT	Cytochrome P450 2E1	ENSP00000252945	CYP2E1	1571	None
P05186	SWISS-PROT	Alkaline phosphatase, tissue-nonspecific isozyme	ENSP00000363965	ALPL	249	Enzyme
P05187	SWISS-PROT	Alkaline phosphatase placental type	ENSP00000375881	ALPP	250	Enzyme
P05230	SWISS-PROT	Acidic fibroblast growth factor	ENSP00000338548	FGF1	2246	None
P05362	SWISS-PROT	Intercellular adhesion molecule-1 	ENSP00000264832	ICAM1	3383	None
P05412	SWISS-PROT	Proto-oncogene c-JUN	ENSP00000360266	JUN	3725	TF
P05413	SWISS-PROT	Fatty acid binding protein muscle	ENSP00000362817	FABP3	2170	None
P05423	SWISS-PROT	DNA-directed RNA polymerase III 47 kDa polypeptide	ENSP00000303088	POLR3D	661	Enzyme
P05543	SWISS-PROT	Thyroxine-binding globulin	ENSP00000329374	SERPINA7	6906	None
P05556	SWISS-PROT	Fibronectin receptor beta	ENSP00000303351	ITGB1	3688	None
P05771	SWISS-PROT	Protein kinase C beta	ENSP00000305355	PRKCB	5579	Kinase
P06133	SWISS-PROT	UDP-glucuronosyltransferase 2B4	ENSP00000305221	UGT2B4	7363	Enzyme
P06213	SWISS-PROT	Insulin receptor	ENSP00000303830	INSR	3643	Kinase
P06239	SWISS-PROT	Tyrosine-protein kinase LCK	ENSP00000337825	LCK	3932	Kinase
P06241	SWISS-PROT	Tyrosine-protein kinase FYN	ENSP00000346671	FYN	2534	Kinase
P06276	SWISS-PROT	Butyrylcholinesterase	ENSP00000264381	BCHE	590	Enzyme
P06280	SWISS-PROT	Alpha-galactosidase A	ENSP00000218516	GLA	2717	Enzyme
P06400	SWISS-PROT	Retinoblastoma-associated protein	ENSP00000267163	RB1	5925	None
P06401	SWISS-PROT	Progesterone receptor	ENSP00000325120	PGR	5241	NR
P06493	SWISS-PROT	Cyclin-dependent kinase 1	ENSP00000378699	CDK1	983	Kinase
P06729	SWISS-PROT	T-cell surface antigen CD2	ENSP00000358490	CD2	914	None
P06730	SWISS-PROT	Eukaryotic translation initation factor	ENSP00000425561	EIF4E	1977	None
P06732	SWISS-PROT	Creatine kinase M	ENSP00000221476	CKM	1158	Kinase
P06733	SWISS-PROT	Alpha enolase	ENSP00000234590	ENO1	2023	Enzyme
P06734	SWISS-PROT	Immunoglobulin epsilon Fc receptor	ENSP00000264072	FCER2	2208	None
P06737	SWISS-PROT	Liver glycogen phosphorylase	ENSP00000216392	PYGL	5836	Enzyme
P06746	SWISS-PROT	DNA polymerase beta	ENSP00000265421	POLB	5423	Enzyme
P06748	SWISS-PROT	Nucleophosmin	ENSP00000296930	NPM1	4869	None
P06756	SWISS-PROT	Vitronectin receptor alpha	ENSP00000261023	ITGAV	3685	None
P06858	SWISS-PROT	Lipoprotein lipase	ENSP00000309757	LPL	4023	Enzyme
P06870	SWISS-PROT	Kallikrein 1	ENSP00000301420	KLK1	3816	Enzyme
P06881	SWISS-PROT	Calcitonin gene-related peptide 1	ENSP00000331746	CALCA	796	None
P07098	SWISS-PROT	Gastric lipase	ENSP00000377900	LIPF	8513	Enzyme
P07099	SWISS-PROT	Epoxide hydrolase 1	ENSP00000272167	EPHX1	2052	Enzyme
P07101	SWISS-PROT	Tyrosine 3-hydroxylase	ENSP00000370571	TH	7054	Enzyme
P07148	SWISS-PROT	Fatty acid-binding protein, liver	ENSP00000295834	FABP1	2168	None
P07195	SWISS-PROT	L-lactate dehydrogenase B chain	ENSP00000229319	LDHB	3945	Enzyme
P07202	SWISS-PROT	Thyroid peroxidase	ENSP00000318820	TPO	7173	Enzyme
P07205	SWISS-PROT	Phosphoglycerate kinase 2	ENSP00000305995	PGK2	5232	Kinase
P07237	SWISS-PROT	Protein disulfide-isomerase	ENSP00000327801	P4HB	5034	Enzyme
P07288	SWISS-PROT	Prostate specific antigen	ENSP00000314151	KLK3	354	Enzyme
P07306	SWISS-PROT	Asialoglycoprotein receptor 1	ENSP00000269299	ASGR1	432	None
P07307	SWISS-PROT	Asialoglycoprotein receptor 2	ENSP00000347140	ASGR2	433	None
P07327	SWISS-PROT	Alcohol dehydrogenase alpha chain	ENSP00000209668	ADH1A	124	Enzyme
P07332	SWISS-PROT	Tyrosine-protein kinase FES	ENSP00000331504	FES	2242	Kinase
P07333	SWISS-PROT	Macrophage colony stimulating factor  receptor 	ENSP00000286301	CSF1R	1436	Kinase
P07339	SWISS-PROT	Cathepsin D	ENSP00000236671	CTSD	1509	Enzyme
P07384	SWISS-PROT	Calpain 1	ENSP00000279247	CAPN1	823	None
P07437	SWISS-PROT	Tubulin beta-5 chain	ENSP00000339001	TUBB	203068	None
P07451	SWISS-PROT	Carbonic anhydrase III	ENSP00000285381	CA3	761	Enzyme
P07477	SWISS-PROT	Trypsin I	ENSP00000308720	PRSS1	5644	Enzyme
P07478	SWISS-PROT	Trypsin II	None	PRSS2	5645	Enzyme
P07510	SWISS-PROT	Acetylcholine receptor protein gamma chain	ENSP00000374145	CHRNG	1146	IC
P07550	SWISS-PROT	Beta-2 adrenergic receptor	ENSP00000305372	ADRB2	154	GPCR
P07686	SWISS-PROT	Beta-hexosaminidase subunit beta	ENSP00000261416	HEXB	3074	Enzyme
P07711	SWISS-PROT	Cathepsin L	ENSP00000345344	CTSL	1514	Enzyme
P07766	SWISS-PROT	T-cell surface glycoprotein CD3 epsilon chain	ENSP00000354566	CD3E	916	None
P07814	SWISS-PROT	Aminoacyl-tRNA synthetase	ENSP00000355890	EPRS	2058	Enzyme
P07858	SWISS-PROT	Cathepsin B 	ENSP00000342070	CTSB	1508	Enzyme
P07864	SWISS-PROT	L-lactate dehydrogenase C chain	ENSP00000280704	LDHC	3948	Enzyme
P07900	SWISS-PROT	Heat shock protein HSP 90-alpha	ENSP00000335153	HSP90AA1	3320	None
P07947	SWISS-PROT	Tyrosine-protein kinase YES	ENSP00000324740	YES1	7525	Kinase
P07948	SWISS-PROT	Tyrosine-protein kinase Lyn 	ENSP00000428924	LYN	4067	Kinase
P07949	SWISS-PROT	Tyrosine-protein kinase receptor RET	ENSP00000347942	RET	5979	Kinase
P07998	SWISS-PROT	Ribonuclease pancreatic	ENSP00000344193	RNASE1	6035	Enzyme
P08047	SWISS-PROT	Transcription factor Sp1	ENSP00000329357	SP1	6667	TF
P08069	SWISS-PROT	Insulin-like growth factor I receptor	ENSP00000268035	IGF1R	3480	Kinase
P08107	SWISS-PROT	Heat shock 70 kDa protein 1	NA	NA	NA	NA
P08123	SWISS-PROT	Collagen alpha 2 chain	ENSP00000297268	COL1A2	1278	None
P08138	SWISS-PROT	Low affinity neurotrophin receptor p75NTR	ENSP00000172229	NGFR	4804	None
P08151	SWISS-PROT	Zinc finger protein GLI1	ENSP00000228682	GLI1	2735	TF
P08172	SWISS-PROT	Muscarinic acetylcholine receptor M2	ENSP00000319984	CHRM2	1129	GPCR
P08173	SWISS-PROT	Muscarinic acetylcholine receptor M4	ENSP00000409378	CHRM4	1132	GPCR
P08183	SWISS-PROT	P-glycoprotein 1	ENSP00000265724	ABCB1	5243	Transporter
P08185	SWISS-PROT	Corticosteroid binding globulin	ENSP00000342850	SERPINA6	866	None
P08217	SWISS-PROT	Elastase 2A	ENSP00000352639	CELA2A	63036	Enzyme
P08218	SWISS-PROT	Elastase 2B	ENSP00000365075	CELA2B	51032	Enzyme
P08235	SWISS-PROT	Mineralocorticoid receptor	ENSP00000341390	NR3C2	4306	NR
P08236	SWISS-PROT	Beta-glucuronidase	ENSP00000302728	GUSB	2990	Enzyme
P08237	SWISS-PROT	Phosphofructokinase muscle type	ENSP00000345771	PFKM	5213	Kinase
P08238	SWISS-PROT	Heat shock protein HSP 90-beta	ENSP00000325875	HSP90AB1	3326	None
P08243	SWISS-PROT	Asparagine synthetase	ENSP00000175506	ASNS	440	Enzyme
P08246	SWISS-PROT	Leukocyte elastase	ENSP00000263621	ELANE	1991	Enzyme
P08253	SWISS-PROT	Matrix metalloproteinase-2	ENSP00000219070	MMP2	4313	Enzyme
P08254	SWISS-PROT	Matrix metalloproteinase 3	ENSP00000299855	MMP3	4314	None
P08263	SWISS-PROT	Glutathione S-transferase A1 	ENSP00000335620	GSTA1	2938	Enzyme
P08311	SWISS-PROT	Cathepsin G	ENSP00000216336	CTSG	1511	Enzyme
P08319	SWISS-PROT	Alcohol dehydrogenase class II	ENSP00000265512	ADH4	127	Enzyme
P08473	SWISS-PROT	Neprilysin	ENSP00000353679	MME	4311	Enzyme
P08514	SWISS-PROT	Integrin alpha-IIb	ENSP00000262407	ITGA2B	3674	None
P08559	SWISS-PROT	Pyruvate dehydrogenase E1 component alpha subunit somatic form	ENSP00000369134	PDHA1	5160	Enzyme
P08575	SWISS-PROT	Leukocyte common antigen 	ENSP00000356346	PTPRC	5788	Enzyme
P08581	SWISS-PROT	Hepatocyte growth factor receptor	ENSP00000317272	MET	4233	Kinase
P08588	SWISS-PROT	Beta-1 adrenergic receptor	ENSP00000358301	ADRB1	153	GPCR
P08603	SWISS-PROT	Complement factor H	ENSP00000356399	CFH	3075	None
P08631	SWISS-PROT	Tyrosine-protein kinase HCK 	ENSP00000365012	HCK	3055	Kinase
P08648	SWISS-PROT	Fibronectin receptor alpha	ENSP00000293379	ITGA5	3678	None
P08684	SWISS-PROT	Cytochrome P450 3A4	ENSP00000337915	CYP3A4	1576	Enzyme
P08686	SWISS-PROT	Cytochrome P450 21	None	CYP21A2	1589	Enzyme
P08709	SWISS-PROT	Coagulation factor VII	ENSP00000364731	F7	2155	Enzyme
P08754	SWISS-PROT	Guanine nucleotide-binding protein G(k), alpha-3 subunit	ENSP00000358867	GNAI3	2773	None
P08833	SWISS-PROT	Insulin-like growth factor binding protein 1	ENSP00000275525	IGFBP1	3484	None
P08842	SWISS-PROT	Steryl-sulfatase precursor	ENSP00000217961	STS	412	Enzyme
P08861	SWISS-PROT	Elastase IIIB	ENSP00000338369	CELA3B	23436	Enzyme
P08865	SWISS-PROT	40S ribosomal protein SA	ENSP00000346067	RPSA	3921	None
P08908	SWISS-PROT	Serotonin 1a (5-HT1a) receptor	ENSP00000316244	HTR1A	3350	GPCR
P08912	SWISS-PROT	Muscarinic acetylcholine receptor M5	ENSP00000372750	CHRM5	1133	GPCR
P08913	SWISS-PROT	Alpha-2a adrenergic receptor	ENSP00000280155	ADRA2A	150	GPCR
P08922	SWISS-PROT	Proto-oncogene tyrosine-protein kinase ROS	ENSP00000357494	ROS1	6098	Kinase
P09038	SWISS-PROT	Basic fibroblast growth factor	ENSP00000264498	FGF2	2247	None
P09093	SWISS-PROT	Elastase IIIA	ENSP00000290122	CELA3A	10136	Enzyme
P09104	SWISS-PROT	Neuron-specific enolase	ENSP00000229277	ENO2	2026	Enzyme
P09172	SWISS-PROT	Dopamine beta-hydroxylase	ENSP00000376776	DBH	1621	Enzyme
P09210	SWISS-PROT	Glutathione S-transferase A2	ENSP00000420168	GSTA2	2939	Enzyme
P09211	SWISS-PROT	Glutathione S-transferase Pi	ENSP00000381607	GSTP1	2950	Enzyme
P09237	SWISS-PROT	Matrix metalloproteinase 7	ENSP00000260227	MMP7	4316	Enzyme
P09238	SWISS-PROT	Matrix metalloproteinase 10	ENSP00000279441	MMP10	4319	None
P09382	SWISS-PROT	Galectin-1	ENSP00000215909	LGALS1	3956	None
P09417	SWISS-PROT	Dihydropteridine reductase	ENSP00000281243	QDPR	5860	Enzyme
P09455	SWISS-PROT	Cellular retinol-binding protein	ENSP00000232219	RBP1	5947	None
P09467	SWISS-PROT	Fructose-1,6-bisphosphatase	ENSP00000364475	FBP1	2203	Enzyme
P09471	SWISS-PROT	Guanine nucleotide-binding protein G(o), alpha subunit 1	ENSP00000262493	GNAO1	2775	None
P09488	SWISS-PROT	Glutathione S-transferase Mu 1	ENSP00000311469	GSTM1	2944	Enzyme
P09601	SWISS-PROT	Heme oxygenase 1	ENSP00000216117	HMOX1	3162	Enzyme
P09619	SWISS-PROT	Platelet-derived growth factor receptor beta	ENSP00000261799	PDGFRB	5159	Kinase
P09668	SWISS-PROT	Cathepsin H	ENSP00000220166	CTSH	1512	Enzyme
P09681	SWISS-PROT	Gastric inhibitory polypeptide	ENSP00000350005	GIP	2695	None
P09769	SWISS-PROT	Tyrosine-protein kinase FGR	ENSP00000363115	FGR	2268	Kinase
P09848	SWISS-PROT	Lactase-phlorizin hydrolase	ENSP00000264162	LCT	3938	Enzyme
P09871	SWISS-PROT	Complement C1s	ENSP00000328173	C1S	716	None
P09874	SWISS-PROT	Poly [ADP-ribose] polymerase-1	ENSP00000355759	PARP1	142	Enzyme
P09884	SWISS-PROT	DNA polymerase alpha subunit	ENSP00000368349	POLA1	5422	Enzyme
P09917	SWISS-PROT	Arachidonate 5-lipoxygenase	ENSP00000363512	ALOX5	240	Enzyme
P09923	SWISS-PROT	Intestinal alkaline phosphatase	ENSP00000295463	ALPI	248	Enzyme
P09936	SWISS-PROT	Ubiquitin carboxyl-terminal hydrolase isozyme L1	ENSP00000284440	UCHL1	7345	Enzyme
P09958	SWISS-PROT	Furin	ENSP00000268171	FURIN	5045	Enzyme
P09960	SWISS-PROT	Leukotriene A4 hydrolase	ENSP00000228740	LTA4H	4048	Enzyme
P0C1S8	SWISS-PROT	Wee1-like protein kinase 2	ENSP00000380675	WEE2	494551	Kinase
P0C264	SWISS-PROT	Putative uncharacterized serine/threonine-protein kinase SgK110	ENSP00000388220	SBK3	100130827	Kinase
P0C869	SWISS-PROT	Phospholipase A2 group 1VB	ENSP00000396045	JMJD7-PLA2G4B	8681	Enzyme
P0CG29	SWISS-PROT	Glutathione S-transferase theta 2	ENSP00000215780	GSTT2	2953	Enzyme
P10070	SWISS-PROT	Zinc finger protein GLI2	ENSP00000354586	GLI2	2736	TF
P10144	SWISS-PROT	Granzyme B	ENSP00000216341	GZMB	3002	Enzyme
P10145	SWISS-PROT	Interleukin-8	ENSP00000306512	CXCL8	3576	None
P10153	SWISS-PROT	Non-secretory ribonuclease	ENSP00000303276	RNASE2	6036	Enzyme
P10253	SWISS-PROT	Lysosomal alpha-glucosidase	ENSP00000305692	GAA	2548	Enzyme
P10275	SWISS-PROT	Androgen Receptor	ENSP00000363822	AR	367	NR
P10276	SWISS-PROT	Retinoic acid receptor alpha	ENSP00000254066	RARA	5914	NR
P10323	SWISS-PROT	Acrosin	ENSP00000216139	ACR	49	Enzyme
P10398	SWISS-PROT	NA	ENSP00000366244	ARAF	369	Kinase
P10415	SWISS-PROT	Apoptosis regulator Bcl-2	ENSP00000329623	BCL2	596	None
P10586	SWISS-PROT	Receptor-type tyrosine-protein phosphatase F (LAR)	ENSP00000353030	PTPRF	5792	Enzyme
P10619	SWISS-PROT	Lysosomal protective protein	ENSP00000361562	CTSA	5476	Enzyme
P10632	SWISS-PROT	Cytochrome P450 2C8	ENSP00000360317	CYP2C8	1558	None
P10635	SWISS-PROT	Cytochrome P450 2D6	ENSP00000353820	CYP2D6	1565	Enzyme
P10644	SWISS-PROT	cAMP-dependent protein kinase type I-alpha regulatory subunit	ENSP00000351410	PRKAR1A	5573	Enzyme
P10696	SWISS-PROT	Alkaline phosphatase placental-like	ENSP00000295453	ALPPL2	251	Enzyme
P10721	SWISS-PROT	Stem cell growth factor receptor	ENSP00000288135	KIT	3815	Kinase
P10745	SWISS-PROT	Interstitial retinol-binding protein	ENSP00000224600	RBP3	5949	Enzyme
P10746	SWISS-PROT	Uroporphyrinogen-III synthase	ENSP00000357775	UROS	7390	Enzyme
P10747	SWISS-PROT	T-cell-specific surface glycoprotein CD28	ENSP00000324890	CD28	940	None
P10809	SWISS-PROT	Heat shock protein HSP 60	ENSP00000340019	HSPD1	3329	None
P10826	SWISS-PROT	Retinoic acid receptor beta	ENSP00000332296	RARB	5915	NR
P10827	SWISS-PROT	Thyroid hormone receptor alpha	ENSP00000264637	THRA	7067	NR
P10828	SWISS-PROT	Thyroid hormone receptor beta-1	ENSP00000348827	THRB	7068	NR
P10912	SWISS-PROT	Growth hormone receptor	ENSP00000230882	GHR	2690	None
P11086	SWISS-PROT	Phenylethanolamine N-methyltransferase	ENSP00000269582	PNMT	5409	Enzyme
P11150	SWISS-PROT	Hepatic lipase	ENSP00000299022	LIPC	3990	Enzyme
P11166	SWISS-PROT	Glucose transporter	ENSP00000416293	SLC2A1	6513	Transporter
P11168	SWISS-PROT	Solute carrier family 2, facilitated glucose transporter member 2	ENSP00000323568	SLC2A2	6514	Transporter
P11169	SWISS-PROT	Solute carrier family 2, facilitated glucose transporter member 3	ENSP00000075120	SLC2A3	6515	Transporter
P11172	SWISS-PROT	Uridine 5'-monophosphate synthase	ENSP00000232607	UMPS	7372	Enzyme
P11177	SWISS-PROT	Pyruvate dehydrogenase E1 component beta subunit	ENSP00000307241	PDHB	5162	Enzyme
P11215	SWISS-PROT	Integrin alpha M	ENSP00000441691	ITGAM	3684	None
P11216	SWISS-PROT	Brain glycogen phosphorylase	ENSP00000216962	PYGB	5834	Enzyme
P11217	SWISS-PROT	Muscle glycogen phosphorylase	ENSP00000164139	PYGM	5837	Enzyme
P11229	SWISS-PROT	Muscarinic acetylcholine receptor M1	ENSP00000306490	CHRM1	1128	GPCR
P11230	SWISS-PROT	Acetylcholine receptor protein beta chain	ENSP00000304290	CHRNB1	1140	IC
P11245	SWISS-PROT	Arylamine N-acetyltransferase 2	ENSP00000286479	NAT2	10	Enzyme
P11274	SWISS-PROT	Breakpoint cluster region protein 	ENSP00000303507	BCR	613	None
P11309	SWISS-PROT	Serine/threonine-protein kinase PIM1 	ENSP00000362608	PIM1	5292	Kinase
P11362	SWISS-PROT	Fibroblast growth factor receptor 1	ENSP00000393312	FGFR1	2260	Kinase
P11387	SWISS-PROT	DNA topoisomerase I	ENSP00000354522	TOP1	7150	Enzyme
P11388	SWISS-PROT	DNA topoisomerase II alpha	ENSP00000411532	TOP2A	7153	Enzyme
P11413	SWISS-PROT	Glucose-6-phosphate 1-dehydrogenase	ENSP00000377192	G6PD	2539	Enzyme
