protein_accession,db_source,name
Q8NER1,SWISS-PROT,"Vanilloid receptor"
Q8NER5,SWISS-PROT,"Activin receptor type-1C"
Q8NET8,SWISS-PROT,"Transient receptor potential cation channel subfamily V member 3"
Q8NEV4,SWISS-PROT,"Myosin IIIA"
Q8NFD2,SWISS-PROT,"Ankyrin repeat and protein kinase domain-containing protein 1"
Q8NFI3,SWISS-PROT,"Endo-beta-N-acetylglucosaminidase "
Q8NFJ6,SWISS-PROT,"Prokineticin receptor 2"
Q8NFM4,SWISS-PROT,"Adenylate cyclase type IV"
Q8NG66,SWISS-PROT,"Serine/threonine-protein kinase Nek11"
Q8NG68,SWISS-PROT,"Tubulin--tyrosine ligase"
Q8NI60,SWISS-PROT,"Chaperone activity of bc1 complex-like, mitochondrial"
Q8TCG2,SWISS-PROT,"PI4-kinase type II beta"
Q8TCT1,SWISS-PROT,"Phosphoethanolamine/phosphocholine phosphatase"
Q8TCU5,SWISS-PROT,"Glutamate [NMDA] receptor subunit 3A"
Q8TCW9,SWISS-PROT,"Prokineticin receptor 1"
Q8TD08,SWISS-PROT,"Mitogen-activated protein kinase 15"
Q8TD19,SWISS-PROT,"Serine/threonine-protein kinase NEK9"
Q8TDC3,SWISS-PROT,"BR serine/threonine-protein kinase 1"
Q8TDR2,SWISS-PROT,"Serine/threonine-protein kinase 35"
Q8TDS4,SWISS-PROT,"Nicotinic acid receptor 1"
Q8TDU6,SWISS-PROT,"G-protein coupled bile acid receptor 1"
Q8TDV5,SWISS-PROT,"Glucose-dependent insulinotropic receptor"
Q8TDX7,SWISS-PROT,"Serine/threonine-protein kinase NEK7"
Q8TET4,SWISS-PROT,"Neutral alpha-glucosidase C "
Q8TF76,SWISS-PROT,"Serine/threonine-protein kinase haspin"
Q8WTQ7,SWISS-PROT,"G protein-coupled receptor kinase 7"
Q8WTS6,SWISS-PROT,"Histone-lysine N-methyltransferase SETD7"
Q8WU08,SWISS-PROT,"Serine/threonine-protein kinase 32A"
Q8WUI4,SWISS-PROT,"Histone deacetylase 7"
Q8WW43,SWISS-PROT,"Gamma-secretase subunit APH-1B"
Q8WWL7,SWISS-PROT,"G2/mitotic-specific cyclin B3"
Q8WWR8,SWISS-PROT,"Sialidase 4"
Q8WXA8,SWISS-PROT,"Serotonin 3c (5-HT3c) receptor"
Q8WXQ8,SWISS-PROT,"Carboxypeptidase A5"
Q8WXR4,SWISS-PROT,"Myosin-IIIB"
Q92542,SWISS-PROT,"Nicastrin "
Q92630,SWISS-PROT,"Dual-specificity tyrosine-phosphorylation regulated kinase 2"
Q92633,SWISS-PROT,"Lysophosphatidic acid receptor Edg-2"
Q92667,SWISS-PROT,"Protein kinase A anchoring protein 1"
Q92696,SWISS-PROT,"Geranylgeranyl transferase type II alpha subunit"
Q92731,SWISS-PROT,"Estrogen receptor beta"
Q92736,SWISS-PROT,"Ryanodine receptor 2"
Q92769,SWISS-PROT,"Histone deacetylase 2"
Q92772,SWISS-PROT,"Cyclin-dependent kinase-like 2"
Q92793,SWISS-PROT,"CREB-binding protein"
Q92813,SWISS-PROT,"Type II iodothyronine deiodinase"
Q92820,SWISS-PROT,"Gamma-glutamyl hydrolase"
Q92824,SWISS-PROT,"Subtilisin/kexin type 5"
Q92830,SWISS-PROT,"Histone acetyltransferase GCN5"
Q92831,SWISS-PROT,"Histone acetyltransferase PCAF"
Q92843,SWISS-PROT,"Apoptosis regulator Bcl-W"
Q92847,SWISS-PROT,"Ghrelin receptor"
Q92851,SWISS-PROT,"Caspase-10"
Q92876,SWISS-PROT,"Kallikrein 6"
Q92887,SWISS-PROT,"Canalicular multispecific organic anion transporter 1"
Q92918,SWISS-PROT,"Mitogen-activated protein kinase kinase kinase kinase 1"
Q92934,SWISS-PROT,"Bcl2-antagonist of cell death (BAD)"
Q92952,SWISS-PROT,"Small conductance calcium-activated potassium channel protein 1"
Q92993,SWISS-PROT,"Histone acetyltransferase KAT5"
Q92997,SWISS-PROT,"Segment polarity protein dishevelled homolog DVL-3"
Q93084,SWISS-PROT,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 3"
Q93086,SWISS-PROT,"P2X purinoceptor 5"
Q93088,SWISS-PROT,"Betaine--homocysteine S-methyltransferase 1"
Q93096,SWISS-PROT,"Protein tyrosine phosphatase type IVA 1"
Q93100,SWISS-PROT,"Phosphorylase kinase beta subunit"
Q969F8,SWISS-PROT,"Metastin receptor"
Q969S8,SWISS-PROT,"Histone deacetylase 10"
Q969U7,SWISS-PROT,"Proteasome assembly chaperone 2"
Q969V1,SWISS-PROT,"Melanin-concentrating hormone receptor 2"
Q96BI3,SWISS-PROT,"Gamma-secretase subunit APH-1A"
Q96BR1,SWISS-PROT,"Serine/threonine-protein kinase Sgk3"
Q96CA5,SWISS-PROT,"Baculoviral IAP repeat-containing protein 7"
Q96D53,SWISS-PROT,"Uncharacterized aarF domain-containing protein kinase 4"
Q96DB2,SWISS-PROT,"Histone deacetylase 11"
Q96EB6,SWISS-PROT,"NAD-dependent deacetylase sirtuin 1"
Q96G91,SWISS-PROT,"Purinergic receptor P2Y11"
Q96GD4,SWISS-PROT,"Serine/threonine-protein kinase Aurora-B"
Q96HH9,SWISS-PROT,"HCV NS3-transactivated protein 3"
Q96IY4,SWISS-PROT,"Carboxypeptidase B2 isoform A"
Q96KB5,SWISS-PROT,"PDZ-binding kinase"
Q96KQ7,SWISS-PROT,"Histone-lysine N-methyltransferase, H3 lysine-9 specific 3"
Q96KS0,SWISS-PROT,"Hypoxia-inducible factor prolyl hydroxylase 1"
Q96L34,SWISS-PROT,"MAP/microtubule affinity-regulating kinase 4"
Q96LB1,SWISS-PROT,"Mas-related G-protein coupled receptor member X2"
Q96LB2,SWISS-PROT,"Mas-related G-protein coupled receptor member X1"
Q96LZ3,SWISS-PROT,"Calcineurin B beta"
Q96M32,SWISS-PROT,"Adenylate kinase 7"
Q96NX5,SWISS-PROT,"CaM kinase I gamma"
Q96P09,SWISS-PROT,"Baculoviral IAP repeat-containing protein 8"
Q96P65,SWISS-PROT,"Pyroglutamylated RFamide peptide receptor"
Q96PD7,SWISS-PROT,"Diacylglycerol O-acyltransferase 2"
Q96PF2,SWISS-PROT,"Testis-specific serine/threonine-protein kinase 2"
Q96PN6,SWISS-PROT,"Adenylate cyclase type 10"
Q96PY6,SWISS-PROT,"Serine/threonine-protein kinase Nek1"
Q96Q40,SWISS-PROT,"Serine/threonine-protein kinase PFTAIRE-2"
Q96QU1,SWISS-PROT,"Protocadherin-15"
Q96R05,SWISS-PROT,"Cellular retinol-binding protein IV"
Q96RG2,SWISS-PROT,"PAS domain-containing serine/threonine-protein kinase"
Q96RI0,SWISS-PROT,"Proteinase activated receptor 4"
Q96RI1,SWISS-PROT,"Bile acid receptor FXR"
Q96RJ0,SWISS-PROT,"Trace amine-associated receptor 1"
Q96RP8,SWISS-PROT,"Voltage-gated potassium channel subunit Kv1.7"
Q96RR4,SWISS-PROT,"CaM-kinase kinase beta"
Q96S37,SWISS-PROT,"Solute carrier family 22 member 12"
Q96SB4,SWISS-PROT,"Serine/threonine-protein kinase SRPK1"
Q99062,SWISS-PROT,"Granulocyte colony stimulating factor receptor"
Q99250,SWISS-PROT,"Sodium channel protein type II alpha subunit"
Q99259,SWISS-PROT,"Glutamate decarboxylase 67 kDa isoform "
Q99418,SWISS-PROT,"Cytohesin-2"
Q99460,SWISS-PROT,"26S proteasome regulatory subunit S1"
Q99487,SWISS-PROT,"Phospholipase A2 Serine dependent"
Q99489,SWISS-PROT,"D-aspartate oxidase"
Q99500,SWISS-PROT,"Sphingosine 1-phosphate receptor Edg-3 "
Q99519,SWISS-PROT,"Sialidase 1"
Q99523,SWISS-PROT,"Neurotensin receptor 3"
Q99527,SWISS-PROT,"G-protein coupled estrogen receptor 1"
Q99538,SWISS-PROT,"Legumain"
Q99558,SWISS-PROT,"Mitogen-activated protein kinase kinase kinase 14"
Q99571,SWISS-PROT,"P2X purinoceptor 4"
Q99572,SWISS-PROT,"P2X purinoceptor 7"
Q99640,SWISS-PROT,"Tyrosine- and threonine-specific cdc2-inhibitory kinase"
Q99645,SWISS-PROT,"Small chondroitin/dermatan sulfate proteoglycan"
Q99661,SWISS-PROT,"Kinesin-like protein KIF2C"
Q99677,SWISS-PROT,"Lysophosphatidic acid receptor 4"
Q99683,SWISS-PROT,"Mitogen-activated protein kinase kinase kinase 5"
Q99685,SWISS-PROT,"Monoglyceride lipase"
Q99705,SWISS-PROT,"Melanin-concentrating hormone receptor 1"
Q99714,SWISS-PROT,"Endoplasmic reticulum-associated amyloid beta-peptide-binding protein"
Q99720,SWISS-PROT,"Sigma opioid receptor"
Q99755,SWISS-PROT,"Phosphatidylinositol-4-phosphate 5-kinase type-1 alpha"
Q99759,SWISS-PROT,"Mitogen-activated protein kinase kinase kinase 3"
Q99788,SWISS-PROT,"G-protein coupled receptor ChemR23"
Q99808,SWISS-PROT,"Equilibrative nucleoside transporter 1"
Q99816,SWISS-PROT,"Tumor susceptibility gene 101 protein"
Q99835,SWISS-PROT,"Smoothened homolog"
Q99836,SWISS-PROT,"Myeloid differentiation primary response protein MyD88"
Q99873,SWISS-PROT,"Protein-arginine N-methyltransferase 1"
Q99895,SWISS-PROT,"Chymotrypsin C"
Q99928,SWISS-PROT,"GABA receptor gamma-3 subunit"
Q99943,SWISS-PROT,"1-acylglycerol-3-phosphate O-acyltransferase alpha"
Q9BPW9,SWISS-PROT,"Dehydrogenase/reductase SDR family member 9"
Q9BQB6,SWISS-PROT,"Vitamin k epoxide reductase complex subunit 1 isoform 1"
Q9BQI3,SWISS-PROT,"Eukaryotic translation initiation factor 2-alpha kinase 1"
Q9BRC7,SWISS-PROT,"Phospholipase C delta 4"
Q9BRS2,SWISS-PROT,"Serine/threonine-protein kinase RIO1"
Q9BT73,SWISS-PROT,"Proteasome assembly chaperone 3"
Q9BTU6,SWISS-PROT,"PI4-kinase type II"
Q9BTY2,SWISS-PROT,"Alpha-L-fucosidase 2"
Q9BUB5,SWISS-PROT,"MAP kinase-interacting serine/threonine-protein kinase MNK1"
Q9BVG8,SWISS-PROT,"Kinesin-like protein KIFC3"
Q9BVS4,SWISS-PROT,"Serine/threonine-protein kinase RIO2"
Q9BW60,SWISS-PROT,"Elongation of very long chain fatty acids protein 1"
Q9BWD1,SWISS-PROT,"Acetyl-CoA acetyltransferase, cytosolic"
Q9BWU1,SWISS-PROT,"Cell division cycle 2-like protein kinase 6"
Q9BXA7,SWISS-PROT,"Testis-specific serine/threonine-protein kinase 1"
Q9BXC0,SWISS-PROT,"G-protein coupled receptor 81"
Q9BXR0,SWISS-PROT,"Queuine tRNA-ribosyltransferase"
Q9BXU1,SWISS-PROT,"Serine/threonine-protein kinase 31"
Q9BY41,SWISS-PROT,"Histone deacetylase 8"
Q9BY64,SWISS-PROT,"UDP-glucuronosyltransferase 2B28"
Q9BYF1,SWISS-PROT,"Angiotensin-converting enzyme 2"
Q9BYP7,SWISS-PROT,"Serine/threonine-protein kinase WNK3"
Q9BYT3,SWISS-PROT,"Serine/threonine-protein kinase 33"
Q9BZ11,SWISS-PROT,"Disintegrin and metalloproteinase domain-containing protein 33"
Q9BZJ3,SWISS-PROT,"Tryptase delta"
Q9BZL6,SWISS-PROT,"Serine/threonine-protein kinase D2"
Q9BZM1,SWISS-PROT,"Group XIIA secretory phospholipase A2"
Q9BZM2,SWISS-PROT,"Group IIF secretory phospholipase A2"
Q9BZX2,SWISS-PROT,"Uridine-cytidine kinase 2"
Q9C098,SWISS-PROT,"Serine/threonine-protein kinase DCLK3"
Q9GZQ4,SWISS-PROT,"Neuromedin-U receptor 2"
Q9GZQ6,SWISS-PROT,"Neuropeptide FF receptor 1"
Q9GZT4,SWISS-PROT,"Serine racemase"
Q9GZT9,SWISS-PROT,"Egl nine homolog 1"
Q9GZV3,SWISS-PROT,"High-affinity choline transporter"
Q9GZZ6,SWISS-PROT,"Neuronal acetylcholine receptor protein alpha-10 subunit"
Q9H093,SWISS-PROT,"NUAK family SNF1-like kinase 2"
Q9H0C8,SWISS-PROT,"Integrin-linked kinase-associated protein phosphatase 2C isoform 1"
Q9H0K1,SWISS-PROT,"Serine/threonine-protein kinase SIK2"
Q9H1C0,SWISS-PROT,"Lysophosphatidic acid receptor 5"
Q9H1D9,SWISS-PROT,"DNA-directed RNA polymerase III 39 kDa polypeptide"
Q9H1R3,SWISS-PROT,"myosin light chain kinase 2"
Q9H227,SWISS-PROT,"Beta-glucosidase cytosolic"
Q9H228,SWISS-PROT,"Sphingosine 1-phosphate receptor Edg-8"
Q9H239,SWISS-PROT,"Matrix metalloproteinase 28"
Q9H244,SWISS-PROT,"Purinergic receptor P2Y12"
Q9H2F3,SWISS-PROT,"3-beta-hydroxysteroid dehydrogenase type VII"
Q9H2G2,SWISS-PROT,"Serine/threonine-protein kinase 2"
Q9H2K2,SWISS-PROT,"Tankyrase-2"
Q9H2K8,SWISS-PROT,"Serine/threonine-protein kinase TAO3"
Q9H2R5,SWISS-PROT,"Kallikrein 15"
Q9H2S1,SWISS-PROT,"Small conductance calcium-activated potassium channel protein 2"
Q9H2X6,SWISS-PROT,"Homeodomain-interacting protein kinase 2"
Q9H3N8,SWISS-PROT,"Histamine H4 receptor"
Q9H3R0,SWISS-PROT,"Lysine-specific demethylase 4C"
Q9H3S4,SWISS-PROT,"Thiamin pyrophosphokinase 1"
Q9H3Y6,SWISS-PROT,"Tyrosine-protein kinase Srms"
Q9H422,SWISS-PROT,"Homeodomain-interacting protein kinase 3"
Q9H4A3,SWISS-PROT,"Serine/threonine-protein kinase WNK1"
Q9H4A4,SWISS-PROT,"Aminopeptidase B"
Q9H4B4,SWISS-PROT,"Serine/threonine-protein kinase PLK3"
Q9H4B7,SWISS-PROT,"Tubulin beta-1 chain"
Q9H4Y5,SWISS-PROT,"Glutathione transferase omega 2"
Q9H598,SWISS-PROT,"Vesicular GABA transporter"
Q9H5J4,SWISS-PROT,"Elongation of very long chain fatty acids protein 6"
Q9H6P5,SWISS-PROT,"Threonine aspartase 1"
Q9H6Z9,SWISS-PROT,"Egl nine homolog 3"
Q9H7Z7,SWISS-PROT,"Prostaglandin E synthase 2"
Q9H9B1,SWISS-PROT,"Histone-lysine N-methyltransferase, H3 lysine-9 specific 5"
Q9H9Q2,SWISS-PROT,"COP9 signalosome complex subunit 7b"
Q9HA47,SWISS-PROT,"Uridine-cytidine kinase 1"
Q9HAS3,SWISS-PROT,"Solute carrier family 28 member 3"
Q9HAZ1,SWISS-PROT,"Dual specificity protein kinase CLK4"
Q9HB03,SWISS-PROT,"Elongation of very long chain fatty acids protein 3"
Q9HB55,SWISS-PROT,"Cytochrome P450 3A43"
Q9HB89,SWISS-PROT,"Neuromedin-U receptor 1"
Q9HBA0,SWISS-PROT,"Transient receptor potential cation channel subfamily V member 4"
Q9HBH1,SWISS-PROT,"Peptide deformylase mitochondrial"
Q9HBH9,SWISS-PROT,"MAP kinase signal-integrating kinase 2"
Q9HBI0,SWISS-PROT,"Gamma-parvin"
Q9HBW0,SWISS-PROT,"Lysophosphatidic acid receptor Edg-4"
Q9HBY8,SWISS-PROT,"Serine/threonine-protein kinase Sgk2"
Q9HC35,SWISS-PROT,"Echinoderm microtubule-associated protein-like 4"
Q9HC98,SWISS-PROT,"Serine/threonine-protein kinase NEK6"
Q9HCG7,SWISS-PROT,"Beta-glucosidase"
Q9HCP0,SWISS-PROT,"Casein kinase I gamma 1"
Q9HCR9,SWISS-PROT,"Phosphodiesterase 11A"
Q9HCU8,SWISS-PROT,"DNA polymerase delta subunit 4"
Q9HD36,SWISS-PROT,"Bcl-2-like protein 10"
Q9NNW7,SWISS-PROT,"Thioredoxin reductase 2"
Q9NP56,SWISS-PROT,"Phosphodiesterase 7B"
Q9NPA1,SWISS-PROT,"Large conductance calcium-activated potassium channel subfamily M beta member 3"
Q9NPB9,SWISS-PROT,"C-C chemokine receptor type 11"
Q9NPC1,SWISS-PROT,"Leukotriene B4 receptor 2"
Q9NPZ5,SWISS-PROT,"Beta-1,3-glucuronyltransferase 2"
Q9NQ66,SWISS-PROT,"Phospholipase C-beta-1"
Q9NQS7,SWISS-PROT,"Inner centromere protein"
Q9NQU5,SWISS-PROT,"Serine/threonine-protein kinase PAK6"
Q9NQW7,SWISS-PROT,"Xaa-Pro aminopeptidase 1"
Q9NR20,SWISS-PROT,"Dual specificity tyrosine-phosphorylation-regulated kinase 4"
Q9NR82,SWISS-PROT,"Voltage-gated potassium channel subunit Kv7.5"
Q9NR96,SWISS-PROT,"Toll-like receptor 9"
Q9NR97,SWISS-PROT,"Toll-like receptor 8"
Q9NRA0,SWISS-PROT,"Sphingosine kinase 2"
Q9NRD8,SWISS-PROT,"Thyroid oxidase 2"
Q9NRE1,SWISS-PROT,"Matrix metalloproteinase 26"
Q9NRM7,SWISS-PROT,"Serine/threonine-protein kinase LATS2"
Q9NRP7,SWISS-PROT,"Serine/threonine-protein kinase 36"
Q9NRR2,SWISS-PROT,"Tryptase gamma"
Q9NRW4,SWISS-PROT,"Dual specificity phosphatase 22"
Q9NS75,SWISS-PROT,"Cysteinyl leukotriene receptor 2"
Q9NS85,SWISS-PROT,"Carbonic anhydrase-related protein 10"
Q9NSD5,SWISS-PROT,"GABA transporter 2"
Q9NSY1,SWISS-PROT,"BMP-2-inducible protein kinase"
Q9NTG7,SWISS-PROT,"NAD-dependent deacetylase sirtuin 3"
Q9NUW8,SWISS-PROT,"Tyrosyl-DNA phosphodiesterase 1"
Q9NUX5,SWISS-PROT,"Protection of telomeres protein 1"
Q9NVP1,SWISS-PROT,"ATP-dependent RNA helicase DDX18"
Q9NWL6,SWISS-PROT,"HCV NS3-transactivated protein 1"
Q9NWM8,SWISS-PROT,"FK506 binding protein 14"
Q9NWT6,SWISS-PROT,"Hypoxia-inducible factor 1-alpha inhibitor"
Q9NWT8,SWISS-PROT,"Aurora kinase A-interacting protein"
Q9NWZ3,SWISS-PROT,"Interleukin-1 receptor-associated kinase 4"
Q9NXB9,SWISS-PROT,"Elongation of very long chain fatty acids protein 2"
Q9NXG6,SWISS-PROT,"Hypoxia-inducible factor prolyl 4-hydroxylase"
Q9NY33,SWISS-PROT,"Dipeptidyl peptidase III"
Q9NY46,SWISS-PROT,"Sodium channel protein type III alpha subunit"
Q9NY47,SWISS-PROT,"Voltage-gated calcium channel alpha2/delta subunit 2"
Q9NY57,SWISS-PROT,"Serine/threonine-protein kinase 32B"
Q9NY72,SWISS-PROT,"Sodium channel beta-3 subunit"
Q9NYA1,SWISS-PROT,"Sphingosine kinase 1"
Q9NYK1,SWISS-PROT,"Toll-like receptor 7"
Q9NYL2,SWISS-PROT,"Mixed lineage kinase 7"
Q9NYP7,SWISS-PROT,"Elongation of very long chain fatty acids protein 5"
Q9NYY3,SWISS-PROT,"Serine/threonine-protein kinase PLK2"
Q9NZ08,SWISS-PROT,"Endoplasmic reticulum aminopeptidase 1"
Q9NZ20,SWISS-PROT,"Group III secretory phopholipase A2"
Q9NZ42,SWISS-PROT,"Gamma-secretase subunit PEN-2"
Q9NZJ5,SWISS-PROT,"Eukaryotic translation initiation factor 2-alpha kinase 3"
Q9NZK7,SWISS-PROT,"Group IIE secretory phospholipase A2"
Q9NZV8,SWISS-PROT,"Potassium voltage-gated channel subfamily D member 2"
Q9P0G3,SWISS-PROT,"Kallikrein 14"
Q9P0L2,SWISS-PROT,"Serine/threonine-protein kinase MARK1"
Q9P0X4,SWISS-PROT,"Voltage-gated T-type calcium channel alpha-1I subunit"
Q9P0Z9,SWISS-PROT,"Peroxisomal sarcosine oxidase"
Q9P1W9,SWISS-PROT,"Serine/threonine-protein kinase PIM2"
Q9P212,SWISS-PROT,"Pancreas-enriched phospholipase C"
Q9P286,SWISS-PROT,"Serine/threonine-protein kinase PAK7"
Q9P289,SWISS-PROT,"Serine/threonine-protein kinase MST4"
Q9P2J5,SWISS-PROT,"Leucyl-tRNA synthetase"
Q9P2K8,SWISS-PROT,"Eukaryotic translation initiation factor 2-alpha kinase 4"
Q9P2W7,SWISS-PROT,"Beta-1,3-glucuronyltransferase 1"
Q9P2X0,SWISS-PROT,"Mannose-P-dolichol synthase 3"
Q9UBC3,SWISS-PROT,"DNA (cytosine-5)-methyltransferase 3B"
Q9UBE8,SWISS-PROT,"Serine/threonine protein kinase NLK"
Q9UBF8,SWISS-PROT,"PI4-kinase beta subunit"
Q9UBK2,SWISS-PROT,"Peroxisome proliferator-activated receptor gamma coactivator 1-alpha"
Q9UBL9,SWISS-PROT,"P2X purinoceptor 2"
Q9UBN7,SWISS-PROT,"Histone deacetylase 6"
Q9UBR2,SWISS-PROT,"Cathepsin Z"
Q9UBS0,SWISS-PROT,"Ribosomal protein S6 kinase 2"
Q9UBS5,SWISS-PROT,"GABA-B receptor 1"
Q9UBT6,SWISS-PROT,"DNA polymerase kappa"
Q9UBU7,SWISS-PROT,"Activator of S phase kinase DBF4"
Q9UBX1,SWISS-PROT,"Cathepsin F"
Q9UBX7,SWISS-PROT,"Kallikrein 11"
Q9UBY0,SWISS-PROT,"Sodium/hydrogen exchanger 2"
Q9UBY5,SWISS-PROT,"Lysophosphatidic acid receptor Edg-7"
Q9UDW1,SWISS-PROT,"Ubiquinol-cytochrome C reductase complex 7.2 kDa protein"
Q9UEE5,SWISS-PROT,"Serine/threonine-protein kinase 17A"
Q9UEW8,SWISS-PROT,
Q9UF33,SWISS-PROT,"Ephrin type-A receptor 6"
Q9UGH3,SWISS-PROT,"Sodium-dependent vitamin C transporter 2"
Q9UGI6,SWISS-PROT,"Small conductance calcium-activated potassium channel protein 3"
Q9UGJ0,SWISS-PROT,"AMP-activated protein kinase, gamma-2 subunit"
Q9UGM1,SWISS-PROT,"Neuronal acetylcholine receptor protein alpha-9 subunit"
Q9UGN5,SWISS-PROT,"Poly [ADP-ribose] polymerase 2"
Q9UGP5,SWISS-PROT,"DNA polymerase lambda"
Q9UHC3,SWISS-PROT,"Amiloride-sensitive cation channel 3"
Q9UHC9,SWISS-PROT,"Niemann-Pick C1-like protein 1"
Q9UHD2,SWISS-PROT,"Serine/threonine-protein kinase TBK1"
Q9UHG2,SWISS-PROT,"Subtilisin/kexin type 1 "
Q9UHI5,SWISS-PROT,"L-type amino acid transporter 2"
Q9UHI8,SWISS-PROT,"ADAMTS1"
Q9UHL4,SWISS-PROT,"Dipeptidyl peptidase II"
Q9UI33,SWISS-PROT,"Sodium channel protein type XI alpha subunit "
Q9UI42,SWISS-PROT,"Carboxypeptidase A4"
Q9UIK4,SWISS-PROT,"Death-associated protein kinase 2"
Q9UIQ6,SWISS-PROT,"Cystinyl aminopeptidase"
Q9UJM8,SWISS-PROT,"Hydroxyacid oxidase 1"
Q9UK17,SWISS-PROT,"Voltage-gated potassium channel subunit Kv4.3"
Q9UK23,SWISS-PROT,"N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase"
Q9UK32,SWISS-PROT,"Ribosomal protein S6 kinase alpha 6"
Q9UKE5,SWISS-PROT,"TRAF2- and NCK-interacting kinase"
Q9UKG9,SWISS-PROT,"Peroxisomal carnitine O-octanoyltransferase"
Q9UKI8,SWISS-PROT,"Serine/threonine-protein kinase tousled-like 1"
Q9UKK3,SWISS-PROT,"Poly [ADP-ribose] polymerase 4"
Q9UKM7,SWISS-PROT,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase"
Q9UKP6,SWISS-PROT,"Urotensin II receptor"
Q9UKQ9,SWISS-PROT,"Kallikrein 9"
Q9UKR0,SWISS-PROT,"Kallikrein 12"
Q9UKR3,SWISS-PROT,"Kallikrein 13"
Q9UKV0,SWISS-PROT,"Histone deacetylase 9"
Q9UKX5,SWISS-PROT,"Integrin alpha-11"
Q9UL54,SWISS-PROT,"Serine/threonine-protein kinase TAO2"
Q9ULA0,SWISS-PROT,"Aspartyl aminopeptidase "
Q9ULK0,SWISS-PROT,"Glutamate receptor delta-1 subunit"
Q9ULK4,SWISS-PROT,"Vitamin D3 receptor-interacting protein"
Q9ULW0,SWISS-PROT,"Targeting protein for Xklp2"
Q9ULX7,SWISS-PROT,"Carbonic anhydrase XIV"
Q9ULZ9,SWISS-PROT,"Matrix metalloproteinase 17"
Q9UM07,SWISS-PROT,"Protein-arginine deiminase type-4"
Q9UM73,SWISS-PROT,"ALK tyrosine kinase receptor"
Q9UMX1,SWISS-PROT,"Suppressor of fused homolog"
Q9UN88,SWISS-PROT,"GABA receptor theta subunit"
Q9UNA0,SWISS-PROT,"ADAMTS5"
Q9UNA4,SWISS-PROT,"DNA polymerase iota"
Q9UNI1,SWISS-PROT,"Elastase 1"
Q9UNK4,SWISS-PROT,"Group IID secretory phospholipase A2"
Q9UNN8,SWISS-PROT,"Endothelial protein C receptor"
Q9UNQ0,SWISS-PROT,"ATP-binding cassette sub-family G member 2"
Q9UP65,SWISS-PROT,"Cytosolic phospholipase A2 gamma"
Q9UPE1,SWISS-PROT,"Serine/threonine-protein kinase SRPK3"
Q9UPR0,SWISS-PROT,"Phospholipase C-like 2"
Q9UPY5,SWISS-PROT,"Cystine/glutamate transporter"
Q9UPZ9,SWISS-PROT,
Q9UQ49,SWISS-PROT,"Sialidase-3"
Q9UQ88,SWISS-PROT,"PITSLRE serine/threonine-protein kinase CDC2L2"
Q9UQB9,SWISS-PROT,"Serine/threonine-protein kinase Aurora-C"
Q9UQD0,SWISS-PROT,"Sodium channel protein type VIII alpha subunit"
Q9UQL6,SWISS-PROT,"Histone deacetylase 5"
Q9UQM7,SWISS-PROT,"CaM kinase II alpha"
Q9Y231,SWISS-PROT,"Fucosyltransferase 9"
Q9Y233,SWISS-PROT,"Phosphodiesterase 10A"
Q9Y237,SWISS-PROT,"Peptidyl-prolyl cis-trans isomerase NIMA-interacting 2"
Q9Y243,SWISS-PROT,"Serine/threonine-protein kinase AKT3"
Q9Y251,SWISS-PROT,"Heparanase"
Q9Y253,SWISS-PROT,"DNA polymerase eta"
Q9Y256,SWISS-PROT,"Prenyl protein specific protease"
Q9Y263,SWISS-PROT,"Phospholipase A-2-activating protein"
Q9Y271,SWISS-PROT,"Cysteinyl leukotriene receptor 1"
Q9Y2D0,SWISS-PROT,"Carbonic anhydrase VB"
Q9Y2D5,SWISS-PROT,"Protein kinase A anchoring protein 2"
Q9Y2E5,SWISS-PROT,"Epididymis-specific alpha-mannosidase"
Q9Y2H1,SWISS-PROT,"Serine/threonine-protein kinase 38-like"
Q9Y2H9,SWISS-PROT,
Q9Y2I1,SWISS-PROT,"Nischarin"
Q9Y2K2,SWISS-PROT,"Serine/threonine-protein kinase SIK3"
Q9Y2P5,SWISS-PROT,"Fatty acid transport protein 5"
Q9Y2Q3,SWISS-PROT,"Glutathione S-transferase kappa 1 "
Q9Y2R2,SWISS-PROT,"Hematopoietic cell protein-tyrosine phosphatase 70Z-PEP"
Q9Y2T3,SWISS-PROT,"Guanine deaminase"
Q9Y2T4,SWISS-PROT,"Serine/threonine protein phosphatase 2A, 55 kDa regulatory subunit B, gamma isoform"
Q9Y2T6,SWISS-PROT,"G-protein coupled receptor 55"
Q9Y2U5,SWISS-PROT,"Mitogen-activated protein kinase kinase kinase 2"
Q9Y2Y1,SWISS-PROT,"DNA-directed RNA polymerases III 12.5 kDa polypeptide"
Q9Y337,SWISS-PROT,"Kallikrein 5"
Q9Y345,SWISS-PROT,"Glycine transporter 2"
Q9Y3Q0,SWISS-PROT,"NAALADase II"
Q9Y3R4,SWISS-PROT,"Sialidase 2"
Q9Y3S1,SWISS-PROT,"Serine/threonine-protein kinase WNK2"
Q9Y463,SWISS-PROT,"Dual specificity tyrosine-phosphorylation-regulated kinase 1B"
Q9Y478,SWISS-PROT,"AMP-activated protein kinase, beta-1 subunit"
